hour,minute,second,sensor_data
2,6,48,"[23.25, 22.75, 23.0, 23.0, 22.5, 23.25, 23.25, 23.5, 22.75, 23.0, 22.75, 23.0, 23.25, 23.75, 23.75, 23.25, 23.5, 23.0, 23.25, 23.75, 23.5, 23.75, 23.75, 23.75, 23.0, 22.75, 23.0, 23.25, 23.75, 24.0, 23.5, 23.5, 23.5, 22.5, 23.25, 23.5, 23.75, 23.75, 23.75, 23.75, 22.5, 22.75, 23.0, 23.0, 23.5, 24.0, 23.5, 22.75, 23.0, 23.25, 22.75, 22.75, 23.25, 23.25, 23.25, 23.5, 22.75, 22.75, 23.25, 22.75, 23.0, 23.0, 23.75, 22.75]"
2,6,48,"[23.75, 22.5, 23.25, 22.75, 22.5, 23.25, 23.75, 23.25, 23.0, 23.0, 23.0, 23.25, 23.0, 23.25, 23.5, 23.5, 23.75, 23.25, 23.25, 23.0, 24.25, 23.5, 24.0, 23.5, 22.75, 22.75, 22.75, 23.25, 23.75, 24.0, 24.25, 23.5, 23.0, 23.0, 23.0, 23.25, 23.75, 23.75, 23.75, 23.75, 23.0, 23.0, 22.75, 23.5, 23.5, 23.75, 23.75, 23.25, 23.25, 23.0, 23.0, 23.5, 23.75, 23.0, 23.0, 23.0, 22.25, 23.25, 23.25, 22.75, 23.5, 22.75, 24.0, 23.0]"
2,6,48,"[23.5, 23.0, 22.5, 23.0, 23.25, 23.75, 23.5, 23.0, 22.75, 22.5, 22.75, 23.0, 23.25, 23.5, 23.75, 23.5, 23.0, 23.0, 23.0, 23.25, 24.0, 23.5, 23.5, 23.75, 23.0, 22.75, 23.0, 24.0, 23.5, 23.75, 23.75, 23.25, 23.0, 23.0, 23.0, 23.25, 23.5, 23.5, 23.5, 23.75, 22.5, 22.5, 23.25, 23.25, 23.5, 24.25, 23.5, 23.75, 23.0, 22.0, 23.0, 23.25, 23.0, 23.5, 23.25, 23.75, 22.5, 22.75, 23.25, 22.5, 23.0, 22.75, 24.25, 22.25]"
2,6,48,"[23.25, 22.5, 22.5, 23.0, 22.75, 23.75, 23.5, 23.0, 23.25, 22.5, 22.5, 22.75, 23.25, 23.25, 23.5, 23.25, 22.75, 22.75, 22.5, 23.25, 23.25, 23.5, 23.25, 23.5, 23.0, 23.0, 22.75, 24.0, 24.0, 24.0, 23.75, 23.0, 23.25, 23.0, 23.0, 23.5, 23.75, 24.0, 23.75, 24.5, 23.0, 22.75, 23.0, 23.25, 24.0, 24.0, 24.0, 23.5, 22.75, 23.25, 23.0, 22.75, 23.25, 23.5, 23.75, 23.5, 22.75, 22.25, 22.75, 22.75, 23.25, 23.5, 24.25, 22.5]"
2,6,49,"[23.0, 22.75, 23.5, 23.0, 23.0, 23.75, 23.25, 23.0, 23.0, 23.25, 22.75, 23.5, 23.25, 23.75, 23.5, 24.0, 23.5, 23.0, 23.25, 23.25, 23.75, 23.5, 23.75, 23.5, 23.25, 22.5, 23.0, 23.75, 23.75, 24.25, 24.0, 23.5, 23.0, 22.5, 23.0, 24.0, 23.75, 23.75, 23.75, 23.5, 23.0, 22.25, 23.25, 23.25, 23.75, 23.5, 23.75, 23.25, 22.75, 23.0, 23.5, 23.25, 23.25, 23.25, 23.25, 24.0, 22.75, 23.25, 22.75, 22.5, 23.25, 23.25, 23.75, 23.25]"
2,6,49,"[23.0, 22.25, 23.0, 22.75, 23.0, 23.0, 23.0, 23.0, 23.0, 22.5, 22.5, 23.25, 23.25, 23.0, 23.75, 23.25, 23.25, 22.75, 23.25, 23.0, 23.75, 23.75, 24.0, 23.5, 23.0, 22.75, 23.0, 23.5, 23.5, 24.25, 24.0, 23.5, 23.25, 22.75, 23.25, 23.5, 23.5, 24.0, 23.75, 23.25, 22.75, 22.75, 23.25, 23.25, 23.25, 24.0, 23.5, 23.0, 22.25, 23.25, 22.75, 23.0, 23.0, 23.0, 23.0, 23.5, 22.25, 22.75, 22.75, 22.5, 22.75, 23.0, 23.75, 22.5]"
2,6,49,"[23.25, 22.5, 22.5, 23.0, 22.5, 23.75, 23.25, 23.5, 23.0, 23.0, 22.75, 22.75, 23.0, 23.75, 23.75, 23.5, 23.25, 23.0, 23.25, 23.25, 24.0, 23.25, 23.75, 23.75, 23.25, 23.25, 22.75, 23.25, 24.25, 23.75, 23.75, 23.75, 23.25, 23.0, 23.25, 23.25, 23.75, 23.25, 24.25, 23.5, 22.75, 22.75, 23.0, 23.25, 23.5, 23.25, 23.5, 23.25, 23.25, 22.75, 22.75, 22.75, 23.25, 23.5, 23.75, 23.25, 22.75, 22.75, 23.0, 23.0, 23.0, 23.0, 23.5, 22.75]"
2,6,49,"[23.0, 22.5, 23.0, 22.75, 22.75, 23.5, 23.5, 23.5, 23.0, 22.75, 22.75, 23.0, 23.25, 23.75, 23.5, 23.25, 23.5, 22.75, 23.0, 23.0, 23.75, 23.5, 23.75, 23.5, 23.25, 23.0, 23.25, 24.0, 23.75, 24.25, 23.75, 23.5, 23.25, 22.75, 23.25, 23.25, 23.75, 23.5, 23.25, 23.75, 23.0, 22.75, 23.0, 23.25, 23.75, 23.25, 23.75, 23.5, 22.75, 23.0, 23.25, 23.25, 23.25, 23.0, 23.25, 23.5, 22.25, 22.5, 22.75, 23.0, 23.0, 23.25, 22.75, 23.25]"
2,6,50,"[23.0, 22.75, 23.0, 23.0, 22.75, 22.75, 23.25, 22.75, 23.25, 22.75, 22.25, 23.25, 23.25, 23.5, 23.75, 24.0, 23.25, 22.75, 23.0, 23.25, 24.0, 23.75, 23.5, 23.75, 23.5, 23.25, 23.25, 24.0, 23.75, 23.75, 24.0, 23.25, 23.25, 22.75, 22.75, 23.5, 23.75, 23.75, 23.75, 24.0, 23.25, 22.75, 22.75, 23.25, 23.5, 23.75, 23.75, 23.5, 23.25, 23.0, 22.75, 23.25, 23.25, 23.0, 23.25, 23.25, 22.25, 23.25, 22.5, 22.5, 22.75, 23.0, 23.75, 22.0]"
2,6,50,"[23.25, 22.75, 23.5, 22.5, 22.75, 23.5, 23.0, 23.5, 22.75, 22.75, 22.25, 22.5, 23.0, 23.25, 23.25, 23.5, 23.0, 23.0, 22.75, 23.0, 23.5, 23.25, 23.75, 23.0, 22.75, 22.5, 23.0, 23.25, 23.75, 24.0, 24.0, 23.75, 23.5, 23.25, 23.0, 23.25, 23.75, 23.75, 23.5, 23.5, 22.75, 22.5, 23.0, 23.5, 23.75, 23.5, 23.75, 23.25, 22.5, 22.75, 23.25, 23.25, 23.25, 23.5, 23.75, 23.25, 22.75, 22.5, 22.75, 23.0, 23.25, 23.25, 23.75, 23.25]"
2,6,50,"[23.0, 22.0, 23.0, 22.25, 23.0, 23.0, 23.25, 22.75, 22.75, 22.75, 22.5, 23.25, 23.0, 24.0, 23.5, 24.0, 23.25, 23.0, 23.0, 23.0, 23.75, 23.25, 23.75, 23.5, 23.25, 22.75, 23.0, 23.25, 23.5, 24.0, 23.75, 23.5, 23.25, 22.75, 23.0, 23.25, 24.0, 23.75, 23.75, 23.5, 22.75, 22.5, 23.0, 23.0, 23.25, 23.5, 23.5, 23.75, 22.75, 22.75, 23.0, 23.0, 23.25, 23.25, 23.25, 23.25, 23.0, 23.25, 23.5, 22.5, 23.25, 23.25, 23.75, 22.25]"
2,6,50,"[23.25, 22.5, 23.0, 23.0, 22.25, 23.25, 23.0, 23.0, 23.0, 22.5, 22.5, 23.0, 23.5, 23.5, 23.25, 23.75, 23.5, 23.0, 23.25, 23.0, 23.5, 23.5, 23.75, 23.75, 22.75, 22.75, 23.0, 23.75, 23.75, 24.0, 23.5, 23.0, 23.0, 23.0, 23.0, 23.25, 23.5, 23.5, 23.25, 23.5, 22.5, 22.5, 23.0, 23.5, 23.25, 24.0, 23.5, 23.0, 22.75, 23.0, 23.0, 23.5, 23.25, 23.5, 23.25, 23.25, 22.25, 22.75, 23.0, 22.25, 23.25, 22.5, 23.25, 23.5]"
2,6,50,"[23.25, 22.75, 23.25, 22.5, 22.75, 23.25, 23.5, 22.5, 23.25, 23.0, 22.75, 23.0, 23.5, 23.75, 23.0, 23.5, 23.25, 23.0, 22.75, 23.0, 23.25, 23.25, 23.5, 23.5, 23.25, 22.75, 23.0, 23.75, 23.5, 23.75, 24.5, 23.5, 23.25, 23.25, 22.75, 23.25, 23.75, 23.75, 23.5, 23.75, 22.5, 22.5, 23.25, 23.25, 23.75, 23.5, 23.75, 23.25, 22.5, 22.75, 23.0, 23.25, 23.0, 23.5, 23.25, 24.25, 22.25, 22.75, 22.5, 22.75, 22.75, 23.0, 23.5, 23.0]"
2,6,51,"[23.25, 22.5, 22.5, 23.0, 23.0, 23.5, 23.0, 23.0, 23.0, 22.75, 22.75, 23.0, 23.25, 23.5, 23.0, 24.0, 23.5, 23.25, 23.0, 23.0, 23.25, 23.5, 23.5, 23.5, 23.5, 23.0, 23.0, 23.75, 23.75, 23.75, 24.0, 23.0, 23.5, 22.75, 23.25, 23.75, 23.5, 23.5, 23.25, 23.75, 22.75, 22.75, 23.0, 23.25, 23.25, 23.5, 23.75, 23.0, 23.25, 23.5, 22.75, 22.75, 23.0, 23.5, 23.25, 23.75, 22.75, 22.5, 23.5, 22.75, 23.0, 23.25, 23.5, 22.75]"
2,6,51,"[23.25, 22.75, 22.75, 22.75, 22.5, 23.5, 23.5, 23.0, 23.0, 22.75, 22.75, 23.0, 23.25, 24.0, 23.5, 23.5, 23.25, 23.0, 22.5, 23.25, 23.25, 23.5, 23.5, 23.5, 23.0, 23.0, 22.75, 23.75, 23.25, 24.25, 23.75, 23.5, 23.25, 22.75, 23.0, 23.5, 23.75, 23.5, 23.75, 24.0, 22.5, 22.75, 23.0, 23.25, 23.5, 23.5, 23.75, 23.75, 23.0, 22.75, 23.0, 23.0, 23.0, 23.5, 23.0, 23.5, 22.5, 23.25, 22.75, 22.5, 22.5, 23.0, 23.5, 23.25]"
2,6,51,"[23.0, 22.5, 22.5, 22.5, 22.75, 23.25, 23.5, 23.0, 22.75, 23.0, 22.5, 23.0, 23.0, 23.5, 23.75, 23.25, 23.0, 22.75, 23.0, 23.0, 24.0, 23.5, 23.5, 24.0, 23.25, 23.25, 22.5, 23.5, 23.75, 24.0, 23.25, 23.5, 23.25, 22.5, 22.75, 23.0, 23.75, 23.75, 23.5, 23.75, 23.0, 22.75, 23.0, 23.25, 23.75, 24.0, 24.25, 23.25, 22.75, 23.25, 23.75, 23.0, 22.75, 23.75, 23.5, 23.75, 22.5, 23.0, 22.75, 23.0, 23.0, 23.25, 23.75, 22.75]"
2,6,51,"[23.25, 22.5, 23.0, 22.75, 22.75, 23.5, 23.25, 23.0, 22.75, 22.5, 22.75, 23.25, 22.75, 23.0, 23.75, 23.25, 23.25, 22.75, 23.0, 23.0, 23.5, 23.5, 23.5, 23.5, 23.25, 23.0, 23.25, 23.25, 23.5, 23.5, 23.5, 23.0, 23.0, 22.75, 22.5, 23.0, 23.75, 23.75, 23.5, 23.75, 22.5, 22.75, 23.25, 23.25, 23.25, 24.0, 23.5, 23.25, 22.75, 23.25, 22.75, 23.0, 22.5, 23.25, 23.25, 23.5, 23.25, 22.75, 23.0, 23.0, 23.25, 22.75, 23.25, 22.5]"
2,6,51,"[23.0, 22.75, 23.0, 22.5, 22.75, 23.25, 23.5, 22.75, 23.0, 22.75, 22.25, 22.75, 23.0, 23.0, 23.25, 23.5, 23.25, 22.25, 22.5, 23.0, 23.5, 23.5, 23.25, 24.0, 23.0, 22.75, 22.5, 23.5, 23.25, 23.5, 23.5, 23.25, 22.5, 22.75, 22.5, 23.5, 23.25, 23.75, 23.75, 23.75, 22.75, 22.5, 22.75, 23.25, 23.75, 23.25, 23.5, 23.25, 22.5, 22.5, 23.0, 23.0, 23.0, 23.25, 23.0, 23.0, 22.25, 22.75, 22.5, 21.75, 22.75, 22.5, 23.25, 22.25]"
2,6,52,"[23.5, 22.75, 22.75, 22.5, 23.0, 23.0, 23.25, 23.0, 22.75, 22.75, 22.0, 22.5, 23.0, 23.5, 23.5, 23.75, 23.25, 23.0, 22.75, 22.5, 23.75, 23.5, 24.0, 23.5, 23.25, 22.5, 22.75, 23.5, 23.25, 24.0, 23.75, 23.25, 23.5, 22.5, 23.0, 23.25, 23.75, 23.75, 23.0, 23.5, 22.75, 22.75, 23.25, 22.75, 23.75, 23.75, 23.75, 23.5, 22.75, 23.25, 22.75, 23.0, 23.0, 23.25, 23.5, 23.5, 22.0, 22.75, 22.75, 22.5, 23.0, 23.0, 23.25, 23.0]"
2,6,52,"[23.25, 22.75, 22.75, 23.0, 22.5, 23.25, 23.0, 23.0, 22.75, 22.75, 22.5, 23.0, 23.25, 23.25, 23.25, 23.5, 23.75, 22.75, 23.0, 23.25, 23.75, 23.5, 23.5, 23.5, 23.5, 23.0, 22.75, 23.5, 23.5, 24.25, 24.0, 23.5, 23.75, 22.5, 23.0, 23.0, 23.5, 23.5, 23.75, 23.5, 22.75, 22.5, 23.0, 22.75, 23.5, 23.75, 23.75, 22.75, 22.25, 22.25, 22.75, 22.75, 23.0, 23.5, 22.75, 23.5, 22.5, 22.5, 23.5, 22.75, 23.0, 23.0, 23.5, 22.5]"
2,6,52,"[22.75, 22.75, 22.5, 23.25, 22.75, 23.0, 23.0, 23.5, 23.0, 22.5, 22.75, 22.75, 23.25, 23.5, 23.5, 23.25, 23.0, 22.75, 22.75, 22.5, 23.75, 23.5, 23.25, 23.5, 22.75, 22.75, 22.75, 23.5, 23.0, 23.5, 23.25, 24.0, 23.0, 22.75, 22.75, 23.5, 23.5, 23.75, 23.5, 24.5, 22.75, 22.75, 23.0, 23.0, 23.75, 23.75, 23.25, 23.0, 22.75, 22.5, 22.75, 23.0, 23.0, 23.0, 23.5, 23.0, 22.5, 22.25, 22.75, 22.75, 23.25, 23.0, 24.0, 23.0]"
2,6,52,"[23.25, 22.5, 22.5, 22.5, 22.5, 23.75, 23.25, 23.0, 22.75, 22.75, 22.5, 22.75, 23.25, 23.5, 23.5, 23.25, 23.25, 23.0, 22.75, 22.75, 23.5, 23.5, 23.75, 23.75, 23.25, 22.75, 22.5, 23.5, 23.5, 23.75, 23.25, 23.5, 23.25, 22.75, 22.75, 23.25, 23.75, 24.0, 23.25, 23.75, 22.75, 22.0, 22.75, 23.0, 23.25, 23.5, 23.5, 23.0, 22.5, 22.75, 22.5, 22.75, 23.0, 23.0, 23.25, 23.5, 22.5, 23.0, 23.25, 23.0, 23.25, 23.0, 24.0, 22.75]"
2,6,52,"[22.5, 22.75, 22.75, 22.75, 23.0, 23.25, 23.0, 22.75, 22.5, 22.25, 21.75, 22.5, 23.25, 22.75, 23.0, 22.75, 23.0, 22.75, 22.5, 23.0, 23.25, 23.25, 24.0, 23.25, 23.0, 22.75, 22.5, 23.5, 23.5, 23.75, 23.5, 23.5, 23.25, 22.75, 22.75, 22.75, 23.75, 23.5, 23.25, 23.75, 22.75, 22.5, 23.0, 23.25, 23.75, 23.5, 23.5, 23.25, 22.5, 23.0, 23.0, 22.75, 23.5, 23.0, 23.25, 23.5, 23.25, 23.0, 23.25, 22.5, 23.0, 23.0, 24.0, 23.25]"
2,6,53,"[23.25, 22.5, 22.5, 22.25, 22.75, 23.0, 23.0, 23.0, 22.5, 22.5, 22.25, 22.75, 22.75, 23.25, 23.25, 23.25, 23.5, 22.75, 22.5, 22.75, 23.75, 23.0, 23.5, 23.5, 22.75, 23.0, 22.5, 23.5, 23.5, 24.0, 23.75, 23.25, 22.75, 23.0, 22.75, 23.0, 24.0, 23.25, 23.5, 23.75, 22.75, 22.5, 23.0, 22.75, 23.5, 23.25, 23.5, 23.5, 22.5, 23.0, 23.25, 23.0, 23.25, 23.25, 23.25, 23.5, 22.5, 22.75, 23.0, 23.25, 23.0, 22.5, 23.75, 22.5]"
2,6,53,"[23.25, 22.5, 22.5, 22.5, 22.75, 23.5, 23.25, 23.0, 23.0, 22.5, 22.75, 23.0, 23.0, 23.25, 23.0, 23.75, 22.75, 22.75, 23.0, 22.75, 23.5, 23.5, 23.25, 23.5, 22.5, 23.0, 22.5, 23.75, 23.25, 23.5, 24.0, 23.25, 23.0, 22.5, 22.75, 23.25, 23.0, 23.5, 23.25, 23.5, 22.5, 22.5, 23.0, 22.75, 23.5, 23.25, 23.5, 23.0, 22.75, 22.5, 23.25, 22.75, 23.5, 23.0, 22.75, 23.5, 22.5, 22.75, 23.0, 22.0, 23.0, 23.0, 24.25, 22.5]"
2,6,53,"[23.5, 22.5, 22.5, 22.25, 22.25, 23.5, 23.25, 22.75, 22.75, 22.75, 22.5, 23.0, 23.0, 23.25, 23.25, 22.75, 22.75, 22.75, 22.75, 23.5, 23.25, 23.25, 23.75, 23.5, 22.75, 23.0, 23.0, 23.75, 23.75, 24.25, 23.75, 23.25, 23.25, 22.75, 23.25, 23.0, 23.5, 24.0, 23.5, 23.5, 22.5, 22.25, 22.5, 22.75, 23.25, 23.25, 23.25, 23.0, 22.75, 23.0, 22.75, 23.25, 23.25, 23.0, 23.25, 23.75, 22.75, 22.5, 23.25, 23.5, 23.25, 23.25, 24.0, 23.0]"
2,6,53,"[23.5, 22.5, 22.5, 22.5, 22.25, 23.25, 23.5, 23.0, 23.0, 22.5, 22.25, 22.75, 23.25, 23.5, 23.5, 23.5, 23.25, 22.75, 22.75, 22.75, 24.0, 23.5, 23.25, 23.5, 23.0, 23.25, 22.75, 23.25, 23.75, 23.75, 24.0, 22.75, 23.25, 22.75, 23.0, 23.5, 23.75, 23.5, 23.5, 23.5, 22.5, 22.5, 23.25, 23.0, 23.5, 23.25, 23.5, 22.5, 23.0, 22.75, 23.25, 23.0, 23.0, 23.25, 23.5, 23.5, 22.25, 23.25, 22.75, 22.75, 23.0, 22.25, 23.75, 22.75]"
2,6,53,"[23.5, 22.5, 22.5, 22.5, 22.5, 23.25, 23.5, 23.25, 22.75, 22.75, 22.0, 23.25, 22.75, 23.5, 23.25, 23.25, 23.25, 22.75, 23.25, 23.25, 23.75, 23.25, 23.25, 23.75, 23.25, 23.0, 22.75, 24.0, 23.75, 23.75, 23.75, 23.25, 23.25, 22.75, 23.0, 23.5, 24.0, 24.0, 23.75, 24.25, 22.5, 22.5, 22.75, 23.25, 23.25, 23.75, 24.0, 24.0, 22.5, 22.5, 22.5, 22.75, 23.25, 23.25, 23.5, 23.25, 23.0, 22.75, 22.75, 22.5, 23.0, 23.0, 23.75, 23.0]"
2,6,54,"[23.5, 22.5, 22.5, 22.25, 22.75, 23.0, 23.5, 23.25, 23.25, 23.0, 22.25, 23.5, 23.0, 23.25, 23.25, 23.25, 23.0, 23.0, 23.0, 22.75, 23.0, 23.25, 23.5, 23.25, 23.25, 22.75, 22.5, 23.25, 23.75, 23.5, 23.5, 23.25, 23.25, 22.5, 22.5, 23.5, 23.5, 24.0, 23.75, 23.75, 22.5, 22.25, 22.5, 23.0, 23.25, 23.5, 23.25, 23.0, 23.0, 22.5, 22.75, 23.0, 23.25, 23.25, 23.25, 23.75, 22.25, 22.75, 23.0, 22.5, 23.0, 23.25, 23.5, 22.75]"
2,6,54,"[23.25, 23.0, 23.0, 22.5, 22.25, 23.0, 23.0, 22.5, 22.75, 22.5, 22.25, 22.75, 22.75, 23.5, 23.0, 23.0, 22.75, 22.5, 23.0, 23.25, 23.75, 23.5, 23.25, 23.5, 22.5, 22.75, 22.75, 23.5, 23.0, 23.75, 23.25, 23.0, 23.25, 23.0, 22.75, 23.25, 23.75, 23.5, 23.75, 23.5, 22.5, 23.0, 22.75, 23.0, 23.25, 23.25, 23.5, 23.25, 22.5, 22.5, 23.0, 22.5, 22.5, 22.5, 23.0, 23.25, 22.25, 23.0, 22.5, 22.25, 22.75, 23.25, 23.5, 22.5]"
2,6,54,"[23.0, 22.75, 22.5, 22.75, 22.75, 23.25, 23.0, 23.0, 22.75, 23.0, 22.5, 23.0, 23.25, 23.75, 23.25, 23.25, 22.75, 23.25, 23.25, 22.75, 23.25, 23.0, 23.5, 23.5, 22.75, 23.25, 22.75, 23.5, 23.75, 23.75, 23.25, 23.25, 23.75, 22.75, 23.25, 23.0, 23.75, 23.75, 23.25, 23.75, 22.75, 22.5, 23.0, 23.75, 23.5, 24.0, 23.5, 23.5, 23.0, 22.75, 23.0, 22.75, 23.5, 23.25, 23.5, 23.0, 22.75, 23.0, 23.25, 23.0, 23.0, 23.25, 23.0, 22.5]"
2,6,54,"[23.25, 22.25, 23.0, 22.25, 22.75, 22.75, 23.25, 23.0, 22.5, 22.5, 22.5, 22.25, 22.75, 23.25, 23.25, 23.0, 23.25, 22.75, 23.0, 23.0, 23.25, 23.0, 23.75, 23.5, 23.0, 22.5, 22.75, 23.25, 23.25, 23.75, 24.0, 24.25, 22.75, 22.5, 23.25, 23.25, 23.75, 23.25, 23.0, 23.75, 22.5, 22.5, 22.75, 23.0, 23.5, 23.5, 23.5, 23.0, 22.25, 23.0, 23.0, 23.0, 23.0, 22.75, 23.25, 22.75, 21.75, 23.0, 22.25, 22.25, 22.75, 23.25, 23.75, 23.0]"
